Пол;Витамин B1;Витамин B2;Витамин B3;Витамин B6;Витамин B7;Витамин B12;Витамин A;Витамин C;Витамин D;Витамин E;Витамин K;Кальций;Фосфор;Магний;Железо;Йод;Калий;Натрий;Цинк;Селен;Медь;Марганец;Хром;Фтор;Омега-3;Омега-6;Пробиотики;Клетчатка
Мужчина;1.2;1.3;16;1.5;0.3;0.02;0.9;90;0.01;15;120;1100;700;420;10;0.15;3500;1300;12;55;1;2;40;4;1600;17000;8;38
Женщина;1.1;1.1;14;1.4;0.3;0.02;0.7;75;0.01;15;90;1100;700;310;18;0.15;2600;1300;8;55;1;2;40;4;1100;12000;12;25
