Название продукта;Ккал;Белки;Жиры ;Углеводы;Витамин B1 ;Витамин B2;Витамин B3 ;Витамин B6;Витамин B7 ;Витамин B12 ;Витамин A;Витамин C;Витамин D;Витамин E;Витамин K;Кальций;Фосфор;Магний;Железо ;Йод;Калий;Натрий;Цинк;Селен;Медь;Марганец;Хром;Фтор;Омега-3;Омега-6;Пробиотики;Клетчатка;Цена;Содержание воды (мг/100г)
Сливки 20%;206;2500;20000;3800;0.03;0.12;0.08;0.02;0;0.0001;0.160;0.3;0.0001;0.60;0.0005;86;60;8;0.1;0.001;109;35;0.25;0.002;0.01;0.01;0;0.01;30;150;0;0;20;65
Сметана 20%;206;2600;20000;3200;0.03;0.11;0.10;0.03;0;0.0002;0.160;0.4;0.0001;0.60;0.0006;90;62;9;0.1;0.002;116;40;0.30;0.003;0.01;0.01;0;0.01;30;120;0;0;22;65
Сыр плавленый;305;16000;25000;0;0.03;0.38;0.40;0.08;0;0.001;0.220;0;0.0005;0.50;0.002;600;400;25;0.5;0.004;95;1200;3.00;0.015;0.03;0.02;0;0.02;50;400;0;0;60;45
Сыр фета;265;14000;21000;4000;0.07;0.84;0.99;0.42;0;0.001;0.125;0;0.0001;0.50;0.001;493;337;19;0.65;0.003;62;1140;32174;0.015;0.03;0.03;0;0.02;40;300;0;0;130;55
Кукурузная крупа;328;8400;4300;75100;0.20;0.07;25569;0.14;0;0;0.003;0;0;0.42;0.0002;7;99;30;45778;0.001;142;35;0.74;0.003;0.05;0.04;0;0.01;20;1800;0;7400;15;12
Кус-кус;376;12700;2000;77000;0.16;0.08;18323;0.11;0;0;0;0;0;0.13;0.0001;24;170;44;45658;0.001;166;8;0.83;0.002;0.25;0.78;0;0.01;10;500;0;5000;25;8
Манная крупа;360;12500;1000;73400;0.14;0.07;43831;0.10;0;0;0;0;0;0.15;0.0001;20;136;18;1.0;0.001;186;1;0.70;0.003;0.10;0.62;0;0.01;5;300;0;3900;10;12
Мука пшеничная;364;10000;1200;76000;0.12;0.04;1.00;0.04;0;0;0;0;0;0.06;0.0001;15;108;22;45689;0.001;107;2;0.70;0.003;0.14;0.68;0;0.01;10;400;0;2400;8;12
Перловая крупа;352;9600;1100;73400;0.12;0.06;2.00;0.13;0;0;0;0;0;0.02;0.0001;29;221;79;45779;0.001;280;9;11689;0.004;0.42;11689;0;0.01;20;800;0;7800;12;10
Рис;365;7000;800;80000;0.07;0.03;21916;0.15;0;0;0;0;0;0.11;0.0001;10;115;25;0.8;0.001;115;5;45901;0.002;0.22;45901;0;0.01;5;200;0;3500;18;12
Хлеб пшеничный;265;8100;3200;49000;0.16;0.09;29221;0.03;0;0;0;0;0;0.22;0.0002;26;97;23;2.0;0.001;126;491;0.74;0.003;0.16;0.50;0;0.01;30;800;0;2700;13;35
Арахис;567;25800;49200;16100;0.64;0.14;45850;0.35;0;0;0;0;0;12267;0.0002;92;376;168;21276;0.002;705;18;46447;0.007;41640;33970;0;0.02;0.3;12000;0;8500;50;6
Грецкий орех;654;15200;65200;13800;0.34;0.15;41275;0.54;0;0;0.001;45717;0;21947;0.002;98;346;158;33270;0.003;441;2;45903;0.004;21551;15036;0;0.02;9000;38000;0;6500;90;4
Кедровый орех;673;13600;68200;13300;0.36;0.23;14336;0.09;0;0;0.001;0.8;0;12298;0.054;16;575;251;19480;0.001;597;2;16589;0.001;11689;29434;0;0.03;11200;34000;0;3800;350;2
Кешью;553;18300;43800;26600;0.42;0.06;45809;0.42;0;0;0.002;0.5;0;0.90;0.034;37;593;292;24990;0.002;660;12;28611;0.020;43862;24108;0;0.03;60;7780;0;3300;110;5
Семя подсолнечника;584;20700;51400;20000;17533;0.36;12632;12785;0;0;0.003;45748;0;35.17;0.002;78;660;325;45778;0.003;645;9;5.00;0.053;29221;34700;0;0.03;74;23000;0;8700;25;5
Масло сливочное;717;600;81000;700;0.01;0.03;0.10;0.01;0;0.0001;0.653;0;0.001;2.00;0.007;24;24;2;0.02;0.001;24;11;0.09;0.001;0.01;0.01;0;0.01;315;2240;0;0;85;16
Шоколад молочный;535;7500;30000;57000;0.05;0.25;0.73;0.03;0;0.0003;0.050;0;0.0002;0.51;0.008;189;208;63;12816;0.002;372;79;45901;0.004;0.49;0.47;0;0.02;50;1100;0;3500;65;1
Сыр творожный;317;15000;25000;2200;0.03;0.30;0.50;0.10;0;0.001;0.200;0;0.0001;0.50;0.001;400;300;20;0.4;0.003;95;800;3.00;0.012;0.03;0.02;0;0.02;30;200;0;0;70;45
Ячневая крупа;354;10400;2100;73500;0.27;0.08;25600;0.32;0;0;0;0;0;0.57;0.002;37;343;133;45779;0.001;452;12;35065;0.008;0.42;11689;0;0.01;20;1000;0;8500;10;10
Хлеб ржаной;259;8500;3000;48000;0.18;0.15;45658;0.17;0;0;0;0;0;0.33;0.001;73;125;40;45840;0.002;245;603;12785;0.005;0.22;0.82;0;0.02;50;600;0;5900;7;37
Фисташки;560;20200;45600;27200;0.87;0.16;10959;25569;0;0;0.021;45813;0;10990;0.003;105;490;121;33664;0.002;1025;1;43862;0.007;10959;43831;0;0.03;250;13200;0;10300;180;4
Фундук;628;15000;61400;17000;0.64;0.11;29221;0.56;0;0;0.001;45722;0;45731;0.014;114;290;163;25659;0.002;680;0;16469;0.004;26665;43252;0;0.02;87;7800;0;9600;100;5
Горчица;67;4400;4000;5500;0.08;0.07;0.52;0.04;0;0;0.002;45778;0;0.36;0.002;63;108;49;45778;0.005;138;1100;0.64;0.002;0.09;0.42;0;0.01;180;2400;0;3500;12;85
Майонез;680;1100;75000;1500;0.01;0.02;0.03;0.01;0;0;0.006;0;0;45933;0.0001;12;21;1;0.1;0.001;20;635;0.10;0.001;0.01;0.01;0;0.01;5000;39000;0;0;15;15
Кетчуп;101;1700;200;23400;0.06;0.06;15707;0.16;0;0;0.026;45661;0;0.38;0.003;15;26;15;0.35;0.001;281;1110;0.21;0.0005;0.07;0.12;0;0.01;20;500;0;1500;10;65
Масло растительное;884;0;100000;0;0;0;0;0;0;0;0;0;0;7.00;0.060;0;0;0;0;0;0;0;0;0;0;0;0;0;9100;53000;0;0;12;0
Масло оливковое;884;0;100000;0;0;0;0;0;0;0;0;0;0;14.35;0.060;1;2;1;0.4;0;1;2;0;0;0;0;0;0;761;9763;0;0;12;0
