Название продукта;Ккал;Белки;Жиры ;Углеводы;Витамин B1 ;Витамин B2;Витамин B3 ;Витамин B6;Витамин B7 ;Витамин B12 ;Витамин A;Витамин C;Витамин D;Витамин E;Витамин K;Кальций;Фосфор;Магний;Железо ;Йод;Калий;Натрий;Цинк;Селен;Медь;Марганец;Хром;Фтор;Омега-3;Омега-6;Пробиотики;Клетчатка;Цена;Содержание воды (мг/100г)
Слива;46;700;280;11000;0.03;0.03;0.42;0.03;0.0004;0;0.017;09.   ;0;0.26;0.006;6;16;7;0.2;0.0002;157;0;0.10;0.0001;0.06;0.05;0;0.001;5;8;0;1400;10;85
Смородина черная;63;1400;400;15000;0.05;0.05;0.30;0.07;0.0003;0;0.012;181.0;0;1.00;0.011;55;59;24;01.   ;0.0001;322;2;0.27;0.0001;0.09;0.25;0.0001;0.002;45;110;0;4300;40;82
Смородина красная;56;1200;200;14000;0.03;0.05;0.25;0.07;0.0002;0;0.011;41.0;0;0.50;0.011;33;44;13;1.0;0.0001;275;1;0.23;0.0001;0.07;0.12;0.0001;0.001;35;90;0;4000;35;83
Смородина белая;56;1200;200;14000;0.03;0.04;0.20;0.06;0.0002;0;0.008;40.0;0;0.50;0.010;33;44;13;1.0;0.0001;275;1;0.23;0.0001;0.07;0.12;0.0001;0.001;35;90;0;4000;45;83
Финики;282;2500;400;75000;0.05;0.06;   .60;0.25;0.001;0;0.007;0.4;0;0.05;0.003;39;62;43;1.0;0.0003;656;2;0.29;0.0003;0.21;0.26;0.0001;0.002;3;10;0;6800;25;21
Хурма;127;600;400;33000;0.03;0.02;0.10;0.10;0.0007;0;0.081;07.   ;0;0.73;0.002;8;17;9;0.2;0.0002;161;1;0.11;0.0002;0.11;0.35;0;0.001;8;18;0;3600;18;64
Черешня;63;1100;200;16000;0.03;0.04;0.40;0.05;0.0004;0;0.003;7;0;0.10;0.002;13;21;9;0.4;0.0002;173;0;0.1;0.0001;0.06;0.07;0;0.002;10;50;0;2100;35;82
Шиповник сухой;284;3300;500;68000;0.16;0.13;   .30;0.08;0;0;0.434;426.0;0;   .84;0.025;169;61;69;03.   ;0.0005;429;4;0.25;0.0001;0.11;01.   ;0.0001;0.003;120;230;0;10600;15;14
Яблоки;52;300;200;14000;0.02;0.03;0.17;0.04;0.0003;0;0.003;04.   ;0;0.18;0.002;6;11;5;0.1;0.0001;107;1;0.04;0.0001;0.03;0.04;0;0.001;3;9;0;2400;5;85
Базилик;23;3100;600;2600;0.03;0.08;0.90;0.16;0.0004;0;0.264;18.0;0;0.80;0.414;177;56;64;03.   ;0.0002;295;4;0.81;0.0002;0.39;   .15;0.0001;0.001;25;70;0;1600;60;92
Баклажаны;25;1000;200;6000;0.04;0.04;0.60;0.08;0.0005;0;0.001;02.   ;0;0.30;0.003;9;24;14;0.2;0.0001;229;2;0.16;0.0001;0.08;0.23;0.0001;0.001;5;16;0;3000;8;92
Горошек зеленый;81;5400;400;14000;0.27;0.13;02.   ;0.17;0.0005;0;0.035;40.0;0;0.13;0.025;25;108;33;01.   ;0.0002;244;5;   .24;0.0002;0.18;0.41;0.0001;0.002;35;152;0;5100;25;78
Кабачки;17;1200;300;3400;0.05;0.09;0.45;0.16;0.0004;0;0.004;17.   ;0;0.12;0.003;16;38;18;0.4;0.0001;261;8;0.32;0.0001;0.05;0.18;0.0001;0.001;3;5;0;1000;6;94
Капуста белокочанная;25;1800;200;5900;0.06;0.04;0.23;0.12;0.0002;0;0.005;36.6;0;0.15;0.076;40;26;12;0.5;0.0002;170;18;0.18;0.0002;0.02;0.16;0.0001;0.001;12;15;0;2500;4;92
Капуста цветная;25;2000;300;5000;0.05;0.06;0.51;0.18;0.001;0;0.001;48.2;0;0.08;0.016;22;44;15;0.4;0.0002;299;30;0.28;0.0002;0.04;0.16;0.0001;0.001;9;12;0;2000;15;92
Капуста брокколи;34;2800;400;6800;0.07;0.12;0.64;0.18;0.001;0;0.031;89.2;0;0.78;0.102;47;66;21;0.7;0.0002;316;33;0.41;0.0002;0.05;0.21;0.0001;0.002;21;33;0;2700;20;89
Картофель;77;2000;100;17000;0.08;0.03;01.   ;0.30;0.0005;0;0.001;19.   ;0;0.01;0.002;12;57;23;0.8;0.0002;425;6;0.29;0.0002;0.11;0.15;0.0001;0.002;3;5;0;2100;3;79
Лук зеленый перьевой;32;1900;200;7200;0.05;0.09;0.40;0.15;0.0004;0;0.050;18.   ;0;0.55;0.207;72;37;20;01.   ;0.0002;276;16;0.39;0.0001;0.08;0.15;0.0001;0.001;7;10;0;2100;20;89
Лук репчатый;40;1100;100;9000;0.05;0.03;0.12;0.12;0.0004;0;0.001;07.   ;0;0.02;0.0004;23;29;10;0.2;0.0002;146;4;0.17;0.0001;0.04;0.13;0.0001;0.001;2;4;0;1600;5;89
Морковь;41;900;200;10000;0.07;0.06;0.98;0.14;0.0006;0;0.835;05.   ;0;0.66;0.013;33;35;12;0.3;0.0002;320;69;0.24;0.0001;0.05;0.14;0.0001;0.003;2;12;0;2800;4;88
Огурец;15;700;100;3600;0.03;0.03;0.10;0.04;0.0005;0;0.005;02.   ;0;0.03;0.016;16;24;13;0.3;0.0001;147;2;0.20;0.0001;0.04;0.08;0.0001;0.001;1;3;0;500;10;95
Перец болгарский;27;990;200;5100;0.06;0.04;0.48;0.22;0;0;0.035;127.7;0;0.37;0.007;8;28;10;0.4;0.001;163;2;0.12;0.0003;0.05;0.11;0.0001;0.002;2;12;0;1900;20;92
Петрушка;47;3700;900;7900;0.09;0.12;   .30;0.09;0;0;0.950;133.0;0;0.75;1.640;138;58;50;06.   ;0.003;554;56;01.   ;0.0001;0.15;0.16;0.0002;0.005;10;115;0;3400;40;87
Редис;19;1200;200;3400;0.01;0.04;0.25;0.07;0;0;0.001;14.   ;0;0.01;0.001;25;20;10;01.   ;0.001;255;39;0.28;0.0008;0.05;0.07;0;0.001;0.2;0.5;0;1700;20;95
Редька зелёная;32;1900;200;6400;0.03;0.03;0.40;0.07;0;0;0.010;29.0;0;0.04;0.003;35;32;22;01.   ;0.001;357;42;0.27;0.0007;0.06;0.09;0;0.001;0.5;01.   ;0;1900;10;93
Репа;30;1500;100;6700;0.04;0.03;0.40;0.09;0;0;0.003;21.0;0;0.03;0.001;49;34;17;0.9;0.001;238;67;0.24;0.0006;0.08;0.11;0;0.001;0.3;0.8;0;1800;8;92
